timestamp,open,high,low,close,volume
2021-06-01,353.37,433.0,225.42,303.71,81593138.7162
2021-07-01,303.75,340.0,254.52,332.38,42951736.7814
2021-08-01,332.38,518.94,317.02,463.9,47408854.2339
2021-09-01,463.9,509.9,320.0,387.5,38737545.2824
2021-10-01,387.5,540.5,381.5,524.6,36199498.1635
2021-11-01,524.6,669.3,510.0,622.5,39485176.5596
2021-12-01,622.5,649.8,489.2,511.4,30148546.275
2022-01-01,511.5,533.9,336.0,374.3,29739135.347
2022-02-01,374.4,445.4,323.5,395.6,21315454.12
2022-03-01,395.7,452.3,359.5,428.9,19507996.784
2022-04-01,428.9,460.0,376.3,377.1,18734022.95
2022-05-01,377.1,413.6,218.8,320.9,35345315.0935
2022-06-01,321.0,324.5,183.4,219.6,25167392.6857
2022-07-01,219.6,302.0,213.5,283.4,17406679.066
2022-08-01,283.5,336.8,272.3,279.2,15761599.544
2022-09-01,279.3,300.0,256.7,284.8,11042786.764
2022-10-01,284.9,337.9,256.8,325.7,8998318.319
2022-11-01,325.8,398.3,250.0,300.6,20493005.683
2022-12-01,300.6,302.0,220.0,246.3,10945730.627
2023-01-01,246.3,323.5,240.7,312.0,10262168.483
2023-02-01,312.1,337.8,282.8,301.4,10977302.428
2023-03-01,301.5,346.3,265.0,316.9,13637106.404
2023-04-01,317.0,350.0,299.5,337.5,13022252.69
2023-05-01,337.5,339.6,301.2,306.8,8989070.198
2023-06-01,306.8,308.4,220.4,240.3,20558982.963
2023-07-01,240.4,261.7,231.1,241.0,15776806.879
2023-08-01,241.0,248.8,203.4,216.7,12605919.973
2023-09-01,216.7,221.3,203.9,214.6,9416595.042
2023-10-01,214.6,238.1,202.0,226.2,13451116.062
2023-11-01,226.3,271.9,222.3,227.6,25813338.182
2023-12-01,227.6,338.3,224.8,311.8,31559599.092
2024-01-01,311.9,334.3,287.5,300.5,26121085.476
2024-02-01,300.5,427.3,296.4,399.4,21405632.338
2024-03-01,399.3,645.2,356.1,606.7,41560483.985
2024-04-01,606.7,634.5,508.0,578.4,18881921.689
2024-05-01,578.4,631.4,536.7,593.7,10105224.992
2024-06-01,593.8,721.8,551.2,582.2,9602003.7807
2024-07-01,582.3,605.6,454.8,576.5,8036736.775
2024-08-01,576.5,600.6,400.0,532.9,10004287.117
2024-09-01,532.9,618.6,471.3,567.4,7343488.671
2024-10-01,567.4,612.2,534.3,576.6,6486223.03
2024-11-01,576.5,687.75,543.6,653.43,18282832.914
2024-12-01,653.44,793.86,618.69,702.3,19370525.287
2025-01-01,702.31,745.29,637.79,677.47,8835556.227
2025-02-01,677.48,732.0,500.0,588.07,13702364.248
2025-03-01,588.07,644.88,507.0,604.81,11092757.291
2025-04-01,604.81,619.99,520.0,599.88,7335350.797
2025-05-01,599.88,697.73,583.55,658.01,8195358.7
2025-06-01,658.01,674.8,601.25,656.9,4201801.476
2025-07-01,656.9,861.1,643.71,783.14,7835036.8063
2025-08-01,783.13,900.71,730.01,857.65,7418183.2575
2025-09-01,857.66,1083.47,840.0,1008.51,8291829.4715
2025-10-01,1008.51,1375.11,860.11,1088.9,20986589.0013
2025-11-01,1088.9,1096.93,790.79,875.31,9131778.089
2025-12-01,875.3,928.24,801.7,886.88,2290052.861
